fight_id,event_id,fighter1_id,fighter2_id,fighter1_name,fighter2_name,winner_id,weight_class,method,fighter1_KD,fighter2_KD,fighter1_SigStrikes_Landed,fighter1_SigStrikes_Att,fighter2_SigStrikes_Landed,fighter2_SigStrikes_Att,fighter1_TotalStrikes_Landed,fighter1_TotalStrikes_Att,fighter2_TotalStrikes_Landed,fighter2_TotalStrikes_Att,fighter1_Takedowns_Landed,fighter1_Takedowns_Att,fighter2_Takedowns_Landed,fighter2_Takedowns_Att,fighter1_Submission_Att,fighter2_Submission_Att,fighter1_Reversals,fighter2_Reversals,fighter1_Control_time,fighter2_Control_time,fighter1_Head_strikes,fighter2_Head_strikes,fighter1_Body_strikes,fighter2_Body_strikes,fighter1_Leg_strikes,fighter2_Leg_strikes,fighter1_Distance_strikes,fighter2_Distance_strikes,fighter1_Clinch_strikes,fighter2_Clinch_strikes,fighter1_Ground_strikes,fighter2_Ground_strikes
72656e864ca1c972,3bb030257966b022,10f3ba6cd2f44a97,48e093ea1f43a053,Dominick Cruz,Takeya Mizugaki,10f3ba6cd2f44a97,Bantamweight Bout,KO/TKO,0,0,26,35,2,10,26,35,3,11,2,2,0,0,0,0,0,0,0:23,0:00,26,2,0,0,0,0,4,2,0,0,22,0
e2433610f128d963,44f9c777fed7ca03,10f3ba6cd2f44a97,8a304bfd6bf04a57,Dominick Cruz,Demetrious Johnson,10f3ba6cd2f44a97,UFC Bantamweight Title Bout,Decision - Unanimous,0,0,15,26,18,38,40,55,34,55,1,2,1,3,0,0,0,0,2:17,0:59,7,10,6,6,2,2,9,14,3,4,3,0
8f4a445ccb548f15,83fd97284f4bb4a4,10f3ba6cd2f44a97,78114b7199cef90c,Dominick Cruz,Urijah Faber,10f3ba6cd2f44a97,UFC Bantamweight Title Bout,Decision - Unanimous,0,0,17,51,10,33,18,52,10,33,0,0,0,1,0,0,0,0,0:00,0:27,9,8,5,0,3,2,14,6,3,4,0,0
3c8cd38d579d6fd7,c0ab242c40decc55,10f3ba6cd2f44a97,0b64d0fed453ef7f,Dominick Cruz,Scott Jorgensen,10f3ba6cd2f44a97,WEC Bantamweight Title Bout,Decision - Unanimous,0,0,33,77,16,60,38,82,17,61,0,0,1,3,0,0,1,0,0:09,0:41,19,12,7,1,7,3,33,11,0,4,0,1
ca9d8b701e9abc23,9f1641c08cf8fbe2,10f3ba6cd2f44a97,80eacd4da0617c57,Dominick Cruz,Joseph Benavidez,10f3ba6cd2f44a97,WEC Bantamweight Title Bout,Decision - Split,0,0,17,44,8,38,29,58,15,47,1,2,0,0,0,0,0,0,1:31,0:00,5,5,8,2,4,1,11,7,5,1,1,0
b4524a197c3be378,aa03a3ca00ac6827,10f3ba6cd2f44a97,b26d3e3746fb4024,Dominick Cruz,Brian Bowles,10f3ba6cd2f44a97,WEC Bantamweight Title Bout,TKO - Doctor's Stoppage,0,0,21,43,6,39,26,48,6,39,1,1,0,0,0,0,0,0,0:35,0:00,12,4,1,2,8,0,20,6,0,0,1,0
f5eb5439a5b9cc56,d26934530dc5b248,10f3ba6cd2f44a97,80eacd4da0617c57,Dominick Cruz,Joseph Benavidez,10f3ba6cd2f44a97,Bantamweight Bout,Decision - Unanimous,0,0,9,33,12,36,12,38,16,40,2,4,0,0,0,1,0,0,1:05,0:42,3,4,4,3,2,5,6,9,3,3,0,0
8ad9b34dd1424d83,50cc91ce2982785d,10f3ba6cd2f44a97,0db9d2486d564a3c,Dominick Cruz,Ivan Lopez,10f3ba6cd2f44a97,Bantamweight Bout,Decision - Unanimous,0,0,5,31,7,18,16,43,12,23,3,5,0,0,0,0,0,0,3:20,0:06,5,3,0,2,0,2,0,5,0,2,5,0
faa39c2f5956a7ee,c2a7623f398d9bd7,10f3ba6cd2f44a97,8a0be41c0380188d,Dominick Cruz,Charlie Valencia,10f3ba6cd2f44a97,Bantamweight Bout,Decision - Unanimous,0,0,18,125,9,48,20,129,9,48,0,1,0,0,0,0,0,0,0:04,0:00,15,5,1,4,2,0,13,5,5,4,0,0
c582e2de87331135,040426baba8a45e8,78114b7199cef90c,10f3ba6cd2f44a97,Urijah Faber,Dominick Cruz,78114b7199cef90c,WEC Featherweight Title Bout,Submission,0,0,4,13,4,12,4,13,5,13,0,0,2,2,1,0,1,0,0:06,0:32,4,3,0,1,0,0,2,4,2,0,0,0
